created_date,transaction_id,stage,source,owner
2026-07-01,T00000,closed-won,(direct),unassigned
2026-07-01,T00001,closed-won,(direct),unassigned
2026-07-01,T00002,closed-won,google,unassigned
2026-07-01,T00003,closed-won,(direct),unassigned
2026-07-01,T00004,closed-won,newsletter,unassigned
2026-07-01,T00005,closed-won,google,unassigned
2026-07-01,T00006,closed-won,newsletter,unassigned
2026-07-01,T00007,closed-won,linkedin,unassigned
2026-07-01,T00008,closed-won,linkedin,unassigned
2026-07-02,T01000,closed-won,bing,unassigned
2026-07-02,T01001,closed-won,newsletter,unassigned
2026-07-02,T01002,closed-won,bing,unassigned
2026-07-02,T01003,closed-won,newsletter,unassigned
2026-07-02,T01004,closed-won,linkedin,unassigned
2026-07-02,T01005,closed-won,linkedin,unassigned
2026-07-02,T01006,closed-won,(direct),unassigned
2026-07-02,T01007,closed-won,bing,unassigned
2026-07-03,T02000,closed-won,linkedin,unassigned
2026-07-03,T02001,closed-won,bing,unassigned
2026-07-03,T02002,closed-won,bing,unassigned
2026-07-03,T02003,closed-won,google,unassigned
2026-07-03,T02004,closed-won,linkedin,unassigned
2026-07-03,T02005,closed-won,google,unassigned
2026-07-03,T02006,closed-won,linkedin,unassigned
2026-07-03,T02007,closed-won,linkedin,unassigned
2026-07-04,T03000,closed-won,newsletter,unassigned
2026-07-04,T03001,closed-won,bing,unassigned
2026-07-04,T03002,closed-won,linkedin,unassigned
2026-07-04,T03003,closed-won,linkedin,unassigned
2026-07-04,T03004,closed-won,(direct),unassigned
2026-07-04,T03005,closed-won,linkedin,unassigned
2026-07-04,T03006,closed-won,newsletter,unassigned
2026-07-04,T03007,closed-won,bing,unassigned
2026-07-04,T03008,closed-won,(direct),unassigned
2026-07-05,T04000,closed-won,google,unassigned
2026-07-05,T04001,closed-won,bing,unassigned
2026-07-05,T04002,closed-won,newsletter,unassigned
2026-07-05,T04003,closed-won,google,unassigned
2026-07-05,T04004,closed-won,(direct),unassigned
2026-07-05,T04005,closed-won,(direct),unassigned
2026-07-05,T04006,closed-won,(direct),unassigned
2026-07-05,T04007,closed-won,newsletter,unassigned
2026-07-06,T05000,closed-won,linkedin,unassigned
2026-07-06,T05001,closed-won,linkedin,unassigned
2026-07-06,T05002,closed-won,google,unassigned
2026-07-06,T05003,closed-won,(direct),unassigned
2026-07-06,T05004,closed-won,google,unassigned
2026-07-06,T05005,closed-won,(direct),unassigned
2026-07-06,T05006,closed-won,google,unassigned
2026-07-06,T05007,closed-won,bing,unassigned
2026-07-07,T06000,closed-won,google,unassigned
2026-07-07,T06001,closed-won,(direct),unassigned
2026-07-07,T06002,closed-won,google,unassigned
2026-07-07,T06003,closed-won,google,unassigned
2026-07-07,T06004,closed-won,(direct),unassigned
2026-07-07,T06005,closed-won,linkedin,unassigned
2026-07-07,T06006,closed-won,newsletter,unassigned
2026-07-07,T06007,closed-won,linkedin,unassigned
2026-07-07,T06008,closed-won,newsletter,unassigned
2026-07-07,T06009,closed-won,bing,unassigned
2026-07-07,T06010,closed-won,(direct),unassigned
2026-07-08,T07000,closed-won,newsletter,unassigned
2026-07-08,T07001,closed-won,newsletter,unassigned
2026-07-08,T07002,closed-won,newsletter,unassigned
2026-07-08,T07003,closed-won,(direct),unassigned
2026-07-08,T07004,closed-won,linkedin,unassigned
2026-07-08,T07005,closed-won,google,unassigned
2026-07-08,T07006,closed-won,google,unassigned
2026-07-08,T07007,closed-won,(direct),unassigned
2026-07-08,T07008,closed-won,newsletter,unassigned
2026-07-08,T07009,closed-won,google,unassigned
2026-07-08,T07010,closed-won,newsletter,unassigned
2026-07-09,T08000,closed-won,newsletter,unassigned
2026-07-09,T08001,closed-won,google,unassigned
2026-07-09,T08002,closed-won,newsletter,unassigned
2026-07-09,T08003,closed-won,bing,unassigned
2026-07-09,T08004,closed-won,bing,unassigned
2026-07-09,T08005,closed-won,google,unassigned
2026-07-09,T08006,closed-won,newsletter,unassigned
2026-07-09,T08007,closed-won,newsletter,unassigned
2026-07-09,T08008,closed-won,linkedin,unassigned
2026-07-09,T08009,closed-won,newsletter,unassigned
2026-07-10,T09000,closed-won,(direct),unassigned
2026-07-10,T09001,closed-won,google,unassigned
2026-07-10,T09002,closed-won,bing,unassigned
2026-07-10,T09003,closed-won,newsletter,unassigned
2026-07-10,T09004,closed-won,newsletter,unassigned
2026-07-10,T09005,closed-won,newsletter,unassigned
2026-07-10,T09006,closed-won,newsletter,unassigned
2026-07-10,T09007,closed-won,linkedin,unassigned
2026-07-10,T09008,closed-won,bing,unassigned
2026-07-11,T10000,closed-won,linkedin,unassigned
2026-07-11,T10001,closed-won,google,unassigned
2026-07-11,T10002,closed-won,linkedin,unassigned
2026-07-11,T10003,closed-won,bing,unassigned
2026-07-11,T10004,closed-won,newsletter,unassigned
2026-07-11,T10005,closed-won,linkedin,unassigned
2026-07-11,T10006,closed-won,bing,unassigned
2026-07-11,T10007,closed-won,(direct),unassigned
