date,transaction_id,event_name,source,medium,page_path
2026-07-01,T00000,purchase,(direct),(none),/demo/thank-you
2026-07-01,T00001,purchase,(direct),(none),/contact/sent
2026-07-01,T00002,purchase,google,cpc,/contact/sent
2026-07-01,T00003,purchase,(direct),(none),/checkout/success
2026-07-01,T00004,purchase,newsletter,email,/trial/confirmed
2026-07-01,T00005,purchase,google,cpc,/trial/confirmed
2026-07-01,T00006,purchase,newsletter,email,/contact/sent
2026-07-01,T00007,purchase,linkedin,paid-social,/contact/sent
2026-07-01,T00008,purchase,linkedin,paid-social,/demo/thank-you
2026-07-02,T01000,purchase,bing,cpc,/trial/confirmed
2026-07-02,T01001,generate_lead,newsletter,email,/checkout/success
2026-07-02,T01002,purchase,bing,cpc,/demo/thank-you
2026-07-02,T01003,generate_lead,newsletter,email,/trial/confirmed
2026-07-02,T01004,purchase,linkedin,paid-social,/demo/thank-you
2026-07-02,T01005,generate_lead,linkedin,paid-social,/checkout/success
2026-07-02,T01006,purchase,(direct),(none),/contact/sent
2026-07-02,T01007,purchase,bing,cpc,/trial/confirmed
2026-07-03,T02000,purchase,linkedin,paid-social,/demo/thank-you
2026-07-03,T02001,purchase,bing,cpc,/demo/thank-you
2026-07-03,T02002,generate_lead,bing,cpc,/checkout/success
2026-07-03,T02003,purchase,google,cpc,/checkout/success
2026-07-03,T02004,purchase,linkedin,paid-social,/checkout/success
2026-07-03,T02005,generate_lead,google,cpc,/trial/confirmed
2026-07-03,T02006,purchase,linkedin,paid-social,/checkout/success
2026-07-03,T02007,purchase,linkedin,paid-social,/checkout/success
2026-07-04,T03000,purchase,newsletter,email,/contact/sent
2026-07-04,T03001,purchase,bing,cpc,/checkout/success
2026-07-04,T03002,generate_lead,linkedin,paid-social,/demo/thank-you
2026-07-04,T03003,generate_lead,linkedin,paid-social,/contact/sent
2026-07-04,T03004,purchase,(direct),(none),/trial/confirmed
2026-07-04,T03005,purchase,linkedin,paid-social,/trial/confirmed
2026-07-04,T03006,purchase,newsletter,email,/trial/confirmed
2026-07-04,T03007,purchase,bing,cpc,/contact/sent
2026-07-04,T03008,purchase,(direct),(none),/trial/confirmed
2026-07-05,T04000,generate_lead,google,cpc,/demo/thank-you
2026-07-05,T04001,generate_lead,bing,cpc,/contact/sent
2026-07-05,T04002,generate_lead,newsletter,email,/trial/confirmed
2026-07-05,T04003,purchase,google,cpc,/contact/sent
2026-07-05,T04004,purchase,(direct),(none),/contact/sent
2026-07-05,T04005,generate_lead,(direct),(none),/trial/confirmed
2026-07-05,T04006,purchase,(direct),(none),/contact/sent
2026-07-05,T04007,purchase,newsletter,email,/trial/confirmed
2026-07-06,T05000,purchase,linkedin,paid-social,/trial/confirmed
2026-07-06,T05001,purchase,linkedin,paid-social,/demo/thank-you
