date,transaction_id,event_name,source,medium,page_path
2026-07-01,T00000,generate_lead,newsletter,email,/contact/sent
2026-07-01,T00001,purchase,(direct),(none),/checkout/success
2026-07-01,T00002,purchase,google,cpc,/trial/confirmed
2026-07-01,T00003,purchase,newsletter,email,/checkout/success
2026-07-01,T00004,purchase,newsletter,email,/demo/thank-you
2026-07-01,T00005,purchase,bing,cpc,/demo/thank-you
2026-07-01,T00006,purchase,newsletter,email,/checkout/success
2026-07-01,T00007,purchase,google,cpc,/demo/thank-you
2026-07-01,T00008,purchase,linkedin,paid-social,/contact/sent
2026-07-01,T00009,purchase,newsletter,email,/checkout/success
2026-07-01,T00010,generate_lead,google,cpc,/trial/confirmed
2026-07-02,T01000,purchase,newsletter,email,/checkout/success
2026-07-02,T01001,purchase,newsletter,email,/demo/thank-you
2026-07-02,T01002,purchase,linkedin,paid-social,/trial/confirmed
2026-07-02,T01003,purchase,linkedin,paid-social,/checkout/success
2026-07-02,T01004,purchase,bing,cpc,/demo/thank-you
2026-07-02,T01005,purchase,google,cpc,/demo/thank-you
2026-07-02,T01006,purchase,linkedin,paid-social,/trial/confirmed
2026-07-02,T01007,purchase,newsletter,email,/trial/confirmed
2026-07-02,T01008,purchase,newsletter,email,/trial/confirmed
2026-07-02,T01009,purchase,newsletter,email,/trial/confirmed
2026-07-03,T02000,purchase,linkedin,paid-social,/contact/sent
2026-07-03,T02001,generate_lead,(direct),(none),/demo/thank-you
2026-07-03,T02002,purchase,linkedin,paid-social,/trial/confirmed
2026-07-03,T02003,purchase,google,cpc,/trial/confirmed
2026-07-03,T02004,purchase,linkedin,paid-social,/demo/thank-you
2026-07-03,T02005,purchase,newsletter,email,/trial/confirmed
2026-07-03,T02006,purchase,bing,cpc,/trial/confirmed
2026-07-03,T02007,generate_lead,(direct),(none),/contact/sent
2026-07-03,T02008,purchase,(direct),(none),/checkout/success
2026-07-03,T02009,purchase,linkedin,paid-social,/trial/confirmed
2026-07-04,T03000,purchase,newsletter,email,/trial/confirmed
2026-07-04,T03001,generate_lead,(direct),(none),/trial/confirmed
2026-07-04,T03002,purchase,newsletter,email,/contact/sent
2026-07-04,T03003,purchase,bing,cpc,/contact/sent
2026-07-04,T03004,purchase,bing,cpc,/checkout/success
2026-07-04,T03005,generate_lead,google,cpc,/contact/sent
2026-07-04,T03006,purchase,google,cpc,/trial/confirmed
2026-07-04,T03007,purchase,google,cpc,/contact/sent
2026-07-04,T03008,purchase,(direct),(none),/demo/thank-you
2026-07-04,T03009,purchase,newsletter,email,/trial/confirmed
2026-07-04,T03010,purchase,(direct),(none),/checkout/success
2026-07-05,T04000,purchase,(direct),(none),/contact/sent
2026-07-05,T04001,purchase,linkedin,paid-social,/demo/thank-you
2026-07-05,T04002,purchase,(direct),(none),/demo/thank-you
2026-07-05,T04003,purchase,linkedin,paid-social,/demo/thank-you
2026-07-05,T04004,purchase,(direct),(none),/demo/thank-you
2026-07-05,T04005,purchase,google,cpc,/demo/thank-you
2026-07-05,T04006,generate_lead,(direct),(none),/contact/sent
2026-07-05,T04007,purchase,newsletter,email,/trial/confirmed
