date,transaction_id,event_name,source,medium,page_path
2026-07-01,T00000,purchase,(direct),(none),/checkout/success
2026-07-01,T00000,purchase,(direct),(none),/checkout/success
2026-07-01,T00001,purchase,(direct),(none),/contact/sent
2026-07-01,T00001,purchase,(direct),(none),/contact/sent
2026-07-01,T00002,generate_lead,google,cpc,/trial/confirmed
2026-07-01,T00002,generate_lead,google,cpc,/trial/confirmed
2026-07-01,T00003,generate_lead,google,cpc,/trial/confirmed
2026-07-01,T00003,generate_lead,google,cpc,/trial/confirmed
2026-07-01,T00004,purchase,google,cpc,/contact/sent
2026-07-01,T00004,purchase,google,cpc,/contact/sent
2026-07-01,T00005,purchase,google,cpc,/checkout/success
2026-07-01,T00005,purchase,google,cpc,/checkout/success
2026-07-01,T00006,purchase,newsletter,email,/checkout/success
2026-07-01,T00006,purchase,newsletter,email,/checkout/success
2026-07-02,T01000,purchase,linkedin,paid-social,/contact/sent
2026-07-02,T01000,purchase,linkedin,paid-social,/contact/sent
2026-07-02,T01001,generate_lead,bing,cpc,/contact/sent
2026-07-02,T01001,generate_lead,bing,cpc,/contact/sent
2026-07-02,T01002,purchase,(direct),(none),/demo/thank-you
2026-07-02,T01002,purchase,(direct),(none),/demo/thank-you
2026-07-02,T01003,purchase,google,cpc,/checkout/success
2026-07-02,T01003,purchase,google,cpc,/checkout/success
2026-07-02,T01004,purchase,linkedin,paid-social,/checkout/success
2026-07-02,T01004,purchase,linkedin,paid-social,/checkout/success
2026-07-02,T01005,purchase,(direct),(none),/checkout/success
2026-07-02,T01005,purchase,(direct),(none),/checkout/success
2026-07-02,T01006,generate_lead,linkedin,paid-social,/trial/confirmed
2026-07-02,T01006,generate_lead,linkedin,paid-social,/trial/confirmed
2026-07-03,T02000,purchase,newsletter,email,/demo/thank-you
2026-07-03,T02000,purchase,newsletter,email,/demo/thank-you
2026-07-03,T02001,generate_lead,linkedin,paid-social,/checkout/success
2026-07-03,T02001,generate_lead,linkedin,paid-social,/checkout/success
2026-07-03,T02002,purchase,google,cpc,/checkout/success
2026-07-03,T02002,purchase,google,cpc,/checkout/success
2026-07-03,T02003,purchase,(direct),(none),/trial/confirmed
2026-07-03,T02003,purchase,(direct),(none),/trial/confirmed
2026-07-03,T02004,purchase,bing,cpc,/contact/sent
2026-07-03,T02004,purchase,bing,cpc,/contact/sent
2026-07-03,T02005,purchase,bing,cpc,/checkout/success
2026-07-03,T02005,purchase,bing,cpc,/checkout/success
2026-07-03,T02006,purchase,linkedin,paid-social,/checkout/success
2026-07-03,T02006,purchase,linkedin,paid-social,/checkout/success
2026-07-03,T02007,generate_lead,bing,cpc,/checkout/success
2026-07-03,T02007,generate_lead,bing,cpc,/checkout/success
2026-07-03,T02008,purchase,(direct),(none),/demo/thank-you
2026-07-03,T02008,purchase,(direct),(none),/demo/thank-you
2026-07-03,T02009,generate_lead,linkedin,paid-social,/checkout/success
2026-07-03,T02009,generate_lead,linkedin,paid-social,/checkout/success
2026-07-04,T03000,purchase,linkedin,paid-social,/contact/sent
2026-07-04,T03000,purchase,linkedin,paid-social,/contact/sent
2026-07-04,T03001,purchase,linkedin,paid-social,/trial/confirmed
2026-07-04,T03001,purchase,linkedin,paid-social,/trial/confirmed
2026-07-04,T03002,generate_lead,linkedin,paid-social,/checkout/success
2026-07-04,T03002,generate_lead,linkedin,paid-social,/checkout/success
2026-07-04,T03003,purchase,bing,cpc,/trial/confirmed
2026-07-04,T03003,purchase,bing,cpc,/trial/confirmed
2026-07-04,T03004,purchase,bing,cpc,/trial/confirmed
2026-07-04,T03004,purchase,bing,cpc,/trial/confirmed
2026-07-04,T03005,generate_lead,google,cpc,/checkout/success
2026-07-04,T03005,generate_lead,google,cpc,/checkout/success
2026-07-04,T03006,purchase,newsletter,email,/demo/thank-you
2026-07-04,T03006,purchase,newsletter,email,/demo/thank-you
2026-07-04,T03007,purchase,google,cpc,/demo/thank-you
2026-07-04,T03007,purchase,google,cpc,/demo/thank-you
2026-07-04,T03008,purchase,google,cpc,/checkout/success
2026-07-04,T03008,purchase,google,cpc,/checkout/success
2026-07-04,T03009,purchase,(direct),(none),/demo/thank-you
2026-07-04,T03009,purchase,(direct),(none),/demo/thank-you
2026-07-04,T03010,purchase,newsletter,email,/demo/thank-you
