created_date,transaction_id,stage,source,owner
2026-07-02,T00000,closed-won,google,unassigned
2026-07-02,T00001,closed-won,google,unassigned
2026-07-02,T00002,closed-won,google,unassigned
2026-07-02,T00003,closed-won,google,unassigned
2026-07-02,T00004,closed-won,(direct),unassigned
2026-07-02,T00005,closed-won,linkedin,unassigned
2026-07-02,T00006,closed-won,bing,unassigned
2026-07-03,T01000,closed-won,bing,unassigned
2026-07-03,T01001,closed-won,(direct),unassigned
2026-07-03,T01002,closed-won,google,unassigned
2026-07-03,T01003,closed-won,linkedin,unassigned
2026-07-03,T01004,closed-won,bing,unassigned
2026-07-03,T01005,closed-won,newsletter,unassigned
2026-07-03,T01006,closed-won,(direct),unassigned
2026-07-03,T01007,closed-won,google,unassigned
2026-07-03,T01008,closed-won,newsletter,unassigned
2026-07-03,T01009,closed-won,newsletter,unassigned
2026-07-03,T01010,closed-won,bing,unassigned
2026-07-04,T02000,closed-won,google,unassigned
2026-07-04,T02001,closed-won,google,unassigned
2026-07-04,T02002,closed-won,newsletter,unassigned
2026-07-04,T02003,closed-won,linkedin,unassigned
2026-07-04,T02004,closed-won,(direct),unassigned
2026-07-04,T02005,closed-won,linkedin,unassigned
2026-07-04,T02006,closed-won,bing,unassigned
2026-07-04,T02007,closed-won,(direct),unassigned
2026-07-04,T02008,closed-won,linkedin,unassigned
2026-07-04,T02009,closed-won,newsletter,unassigned
2026-07-04,T02010,closed-won,google,unassigned
2026-07-05,T03000,closed-won,(direct),unassigned
2026-07-05,T03001,closed-won,newsletter,unassigned
2026-07-05,T03002,closed-won,google,unassigned
2026-07-05,T03003,closed-won,newsletter,unassigned
2026-07-05,T03004,closed-won,google,unassigned
2026-07-05,T03005,closed-won,linkedin,unassigned
2026-07-05,T03006,closed-won,(direct),unassigned
2026-07-05,T03007,closed-won,bing,unassigned
2026-07-05,T03008,closed-won,newsletter,unassigned
2026-07-06,T04000,closed-won,linkedin,unassigned
2026-07-06,T04001,closed-won,google,unassigned
2026-07-06,T04002,closed-won,newsletter,unassigned
2026-07-06,T04003,closed-won,bing,unassigned
2026-07-06,T04004,closed-won,bing,unassigned
2026-07-06,T04005,closed-won,linkedin,unassigned
2026-07-06,T04006,closed-won,(direct),unassigned
2026-07-07,T05000,closed-won,linkedin,unassigned
2026-07-07,T05001,closed-won,bing,unassigned
2026-07-07,T05002,closed-won,(direct),unassigned
2026-07-07,T05003,closed-won,google,unassigned
2026-07-07,T05004,closed-won,linkedin,unassigned
2026-07-07,T05005,closed-won,google,unassigned
2026-07-07,T05006,closed-won,(direct),unassigned
2026-07-07,T05007,closed-won,bing,unassigned
2026-07-07,T05008,closed-won,newsletter,unassigned
2026-07-07,T05009,closed-won,linkedin,unassigned
2026-07-08,T06000,closed-won,(direct),unassigned
2026-07-08,T06001,closed-won,(direct),unassigned
2026-07-08,T06002,closed-won,google,unassigned
2026-07-08,T06003,closed-won,(direct),unassigned
2026-07-08,T06004,closed-won,newsletter,unassigned
2026-07-08,T06005,closed-won,(direct),unassigned
2026-07-08,T06006,closed-won,bing,unassigned
2026-07-08,T06007,closed-won,(direct),unassigned
2026-07-09,T07000,closed-won,google,unassigned
2026-07-09,T07001,closed-won,(direct),unassigned
2026-07-09,T07002,closed-won,linkedin,unassigned
2026-07-09,T07003,closed-won,(direct),unassigned
2026-07-09,T07004,closed-won,bing,unassigned
2026-07-09,T07005,closed-won,bing,unassigned
2026-07-09,T07006,closed-won,linkedin,unassigned
2026-07-09,T07007,closed-won,(direct),unassigned
2026-07-09,T07008,closed-won,newsletter,unassigned
2026-07-09,T07009,closed-won,(direct),unassigned
2026-07-10,T08000,closed-won,newsletter,unassigned
2026-07-10,T08001,closed-won,google,unassigned
2026-07-10,T08002,closed-won,(direct),unassigned
2026-07-10,T08003,closed-won,linkedin,unassigned
2026-07-10,T08004,closed-won,newsletter,unassigned
2026-07-10,T08005,closed-won,bing,unassigned
2026-07-10,T08006,closed-won,bing,unassigned
2026-07-10,T08007,closed-won,(direct),unassigned
2026-07-10,T08008,closed-won,(direct),unassigned
2026-07-10,T08009,closed-won,google,unassigned
2026-07-11,T09000,closed-won,(direct),unassigned
2026-07-11,T09001,closed-won,linkedin,unassigned
2026-07-11,T09002,closed-won,newsletter,unassigned
2026-07-11,T09003,closed-won,bing,unassigned
2026-07-11,T09004,closed-won,(direct),unassigned
2026-07-11,T09005,closed-won,newsletter,unassigned
2026-07-11,T09006,closed-won,(direct),unassigned
2026-07-11,T09007,closed-won,google,unassigned
2026-07-11,T09008,closed-won,linkedin,unassigned
2026-07-11,T09009,closed-won,bing,unassigned
2026-07-11,T09010,closed-won,google,unassigned
2026-07-12,T10000,closed-won,bing,unassigned
2026-07-12,T10001,closed-won,newsletter,unassigned
2026-07-12,T10002,closed-won,bing,unassigned
2026-07-12,T10003,closed-won,newsletter,unassigned
2026-07-12,T10004,closed-won,(direct),unassigned
2026-07-12,T10005,closed-won,bing,unassigned
2026-07-12,T10006,closed-won,linkedin,unassigned
2026-07-12,T10007,closed-won,(direct),unassigned
2026-07-13,T11000,closed-won,linkedin,unassigned
2026-07-13,T11001,closed-won,bing,unassigned
2026-07-13,T11002,closed-won,bing,unassigned
2026-07-13,T11003,closed-won,linkedin,unassigned
2026-07-13,T11004,closed-won,linkedin,unassigned
2026-07-13,T11005,closed-won,linkedin,unassigned
2026-07-13,T11006,closed-won,linkedin,unassigned
2026-07-13,T11007,closed-won,newsletter,unassigned
2026-07-13,T11008,closed-won,bing,unassigned
2026-07-13,T11009,closed-won,newsletter,unassigned
2026-07-14,T12000,closed-won,google,unassigned
2026-07-14,T12001,closed-won,bing,unassigned
2026-07-14,T12002,closed-won,linkedin,unassigned
2026-07-14,T12003,closed-won,newsletter,unassigned
2026-07-14,T12004,closed-won,(direct),unassigned
2026-07-14,T12005,closed-won,(direct),unassigned
2026-07-14,T12006,closed-won,(direct),unassigned
2026-07-14,T12007,closed-won,newsletter,unassigned
2026-07-14,T12008,closed-won,linkedin,unassigned
2026-07-14,T12009,closed-won,bing,unassigned
2026-07-15,T13000,closed-won,newsletter,unassigned
2026-07-15,T13001,closed-won,bing,unassigned
2026-07-15,T13002,closed-won,google,unassigned
2026-07-15,T13003,closed-won,(direct),unassigned
2026-07-15,T13004,closed-won,newsletter,unassigned
2026-07-15,T13005,closed-won,(direct),unassigned
2026-07-15,T13006,closed-won,google,unassigned
2026-07-15,T13007,closed-won,newsletter,unassigned
2026-07-15,T13008,closed-won,(direct),unassigned
2026-07-15,T13009,closed-won,google,unassigned
2026-07-15,T13010,closed-won,linkedin,unassigned
2026-07-16,T14000,closed-won,linkedin,unassigned
2026-07-16,T14001,closed-won,google,unassigned
2026-07-16,T14002,closed-won,newsletter,unassigned
2026-07-16,T14003,closed-won,bing,unassigned
2026-07-16,T14004,closed-won,bing,unassigned
2026-07-16,T14005,closed-won,linkedin,unassigned
2026-07-16,T14006,closed-won,(direct),unassigned
2026-07-16,T14007,closed-won,newsletter,unassigned
2026-07-16,T14008,closed-won,google,unassigned
2026-07-17,T15000,closed-won,google,unassigned
2026-07-17,T15001,closed-won,(direct),unassigned
2026-07-17,T15002,closed-won,(direct),unassigned
2026-07-17,T15003,closed-won,bing,unassigned
2026-07-17,T15004,closed-won,(direct),unassigned
2026-07-17,T15005,closed-won,newsletter,unassigned
2026-07-17,T15006,closed-won,bing,unassigned
2026-07-18,T16000,closed-won,linkedin,unassigned
2026-07-18,T16001,closed-won,(direct),unassigned
2026-07-18,T16002,closed-won,linkedin,unassigned
2026-07-18,T16003,closed-won,newsletter,unassigned
2026-07-18,T16004,closed-won,(direct),unassigned
2026-07-18,T16005,closed-won,newsletter,unassigned
2026-07-18,T16006,closed-won,(direct),unassigned
2026-07-18,T16007,closed-won,google,unassigned
