date,transaction_id,event_name,source,medium,page_path
2026-07-01,T00000,purchase,google,cpc,/checkout/success
2026-07-01,T00001,purchase,google,cpc,/demo/thank-you
2026-07-01,T00002,purchase,google,cpc,/checkout/success
2026-07-01,T00003,purchase,google,cpc,/trial/confirmed
2026-07-01,T00004,purchase,(direct),(none),/contact/sent
2026-07-01,T00005,purchase,linkedin,paid-social,/demo/thank-you
2026-07-01,T00006,purchase,bing,cpc,/demo/thank-you
2026-07-02,T01000,purchase,bing,cpc,/checkout/success
2026-07-02,T01001,purchase,(direct),(none),/demo/thank-you
2026-07-02,T01002,purchase,google,cpc,/trial/confirmed
2026-07-02,T01003,purchase,linkedin,paid-social,/demo/thank-you
2026-07-02,T01004,purchase,bing,cpc,/contact/sent
2026-07-02,T01005,purchase,newsletter,email,/contact/sent
2026-07-02,T01006,purchase,(direct),(none),/contact/sent
2026-07-02,T01007,purchase,google,cpc,/demo/thank-you
2026-07-02,T01008,purchase,newsletter,email,/trial/confirmed
2026-07-02,T01009,purchase,newsletter,email,/demo/thank-you
2026-07-02,T01010,purchase,bing,cpc,/demo/thank-you
2026-07-03,T02000,purchase,google,cpc,/demo/thank-you
2026-07-03,T02001,purchase,google,cpc,/demo/thank-you
2026-07-03,T02002,purchase,newsletter,email,/trial/confirmed
2026-07-03,T02003,purchase,linkedin,paid-social,/contact/sent
2026-07-03,T02004,purchase,(direct),(none),/checkout/success
2026-07-03,T02005,purchase,linkedin,paid-social,/contact/sent
2026-07-03,T02006,purchase,bing,cpc,/demo/thank-you
2026-07-03,T02007,purchase,(direct),(none),/trial/confirmed
2026-07-03,T02008,purchase,linkedin,paid-social,/contact/sent
2026-07-03,T02009,purchase,newsletter,email,/trial/confirmed
2026-07-03,T02010,generate_lead,google,cpc,/demo/thank-you
2026-07-04,T03000,purchase,(direct),(none),/trial/confirmed
2026-07-04,T03001,purchase,newsletter,email,/contact/sent
2026-07-04,T03002,purchase,google,cpc,/checkout/success
2026-07-04,T03003,purchase,newsletter,email,/demo/thank-you
2026-07-04,T03004,purchase,google,cpc,/checkout/success
2026-07-04,T03005,purchase,linkedin,paid-social,/trial/confirmed
2026-07-04,T03006,purchase,(direct),(none),/checkout/success
2026-07-04,T03007,purchase,bing,cpc,/contact/sent
2026-07-04,T03008,purchase,newsletter,email,/contact/sent
2026-07-05,T04000,purchase,linkedin,paid-social,/checkout/success
2026-07-05,T04001,purchase,google,cpc,/trial/confirmed
2026-07-05,T04002,purchase,newsletter,email,/checkout/success
2026-07-05,T04003,purchase,bing,cpc,/demo/thank-you
2026-07-05,T04004,purchase,bing,cpc,/demo/thank-you
2026-07-05,T04005,purchase,linkedin,paid-social,/trial/confirmed
2026-07-05,T04006,purchase,(direct),(none),/contact/sent
2026-07-06,T05000,purchase,linkedin,paid-social,/demo/thank-you
2026-07-06,T05001,purchase,bing,cpc,/demo/thank-you
2026-07-06,T05002,generate_lead,(direct),(none),/demo/thank-you
2026-07-06,T05003,purchase,google,cpc,/demo/thank-you
2026-07-06,T05004,generate_lead,linkedin,paid-social,/contact/sent
2026-07-06,T05005,purchase,google,cpc,/contact/sent
2026-07-06,T05006,purchase,(direct),(none),/checkout/success
2026-07-06,T05007,purchase,bing,cpc,/trial/confirmed
2026-07-06,T05008,purchase,newsletter,email,/trial/confirmed
2026-07-06,T05009,purchase,linkedin,paid-social,/contact/sent
2026-07-07,T06000,generate_lead,(direct),(none),/demo/thank-you
2026-07-07,T06001,generate_lead,(direct),(none),/checkout/success
2026-07-07,T06002,purchase,google,cpc,/demo/thank-you
2026-07-07,T06003,purchase,(direct),(none),/contact/sent
2026-07-07,T06004,purchase,newsletter,email,/contact/sent
2026-07-07,T06005,purchase,(direct),(none),/checkout/success
2026-07-07,T06006,purchase,bing,cpc,/trial/confirmed
2026-07-07,T06007,purchase,(direct),(none),/checkout/success
2026-07-08,T07000,purchase,google,cpc,/trial/confirmed
2026-07-08,T07001,purchase,(direct),(none),/demo/thank-you
2026-07-08,T07002,purchase,linkedin,paid-social,/checkout/success
2026-07-08,T07003,generate_lead,(direct),(none),/checkout/success
2026-07-08,T07004,purchase,bing,cpc,/checkout/success
2026-07-08,T07005,purchase,bing,cpc,/checkout/success
2026-07-08,T07006,generate_lead,linkedin,paid-social,/trial/confirmed
2026-07-08,T07007,purchase,(direct),(none),/contact/sent
2026-07-08,T07008,purchase,newsletter,email,/checkout/success
2026-07-08,T07009,purchase,(direct),(none),/trial/confirmed
2026-07-09,T08000,purchase,newsletter,email,/demo/thank-you
2026-07-09,T08001,purchase,google,cpc,/demo/thank-you
2026-07-09,T08002,purchase,(direct),(none),/trial/confirmed
2026-07-09,T08003,purchase,linkedin,paid-social,/trial/confirmed
